source,sourcename,category,fetch_method,status,articles_fetched,articles_inserted,ai_summarized,error_code,error_reason,test_timestamp
arxiv,ArXiv,paper,arXiv API,success,33,33,5,,,2026-06-26T20:02+08:00
producthunt,Product Hunt,product,RSS,success,29,30,10,,,2026-06-26T20:02+08:00
github,GitHub Trending,oss,GitHub Search API,success,20,21,5,,,2026-06-26T20:02+08:00
36kr_ai,36氪 AI,news,RSS,success,30,51,3,,,2026-06-26T20:02+08:00
openai,OpenAI Blog,news,RSS,success,4,4,4,,,2026-06-26T20:02+08:00
hackernews,Hacker News,news,hnrss.org RSS,failure,0,4,4,502,hnrss.org Bad Gateway (upstream intermittent),2026-06-26T20:02+08:00
jiqizhixin,机器之心,news,RSSHub RSS,failure,0,0,0,403,RSSHub Forbidden (anti-scraping),2026-06-26T20:02+08:00
liangziwei,量子位,news,RSSHub RSS,failure,0,0,0,403,RSSHub Forbidden (anti-scraping),2026-06-26T20:02+08:00
anthropic,Anthropic Blog,news,RSSHub RSS,failure,0,0,0,403,RSSHub Forbidden (anti-scraping),2026-06-26T20:02+08:00
googleai,Google AI Blog,news,Blogger RSS,failure,0,0,0,404,RSS path no longer valid,2026-06-26T20:02+08:00
